2021/05/21 11:38:56| Created PID file (/var/run/squid.pid)
2021/05/21 11:38:56 kid1| Set Current Directory to /var/spool/squid
2021/05/21 11:38:56 kid1| Creating missing swap directories
2021/05/21 11:38:56 kid1| No cache_dir stores are configured.
2021/05/21 11:38:57| Removing PID file (/var/run/squid.pid)
2021/05/21 11:38:57| Created PID file (/var/run/squid.pid)
2021/05/21 11:38:57 kid1| Set Current Directory to /var/spool/squid
2021/05/21 11:38:57 kid1| Starting Squid Cache version 4.6 for x86_64-pc-linux-gnu...
2021/05/21 11:38:57 kid1| Service Name: squid
2021/05/21 11:38:57 kid1| Process ID 1271
2021/05/21 11:38:57 kid1| Process Roles: worker
2021/05/21 11:38:57 kid1| With 1024 file descriptors available
2021/05/21 11:38:57 kid1| Initializing IP Cache...
2021/05/21 11:38:57 kid1| DNS Socket created at [::], FD 5
2021/05/21 11:38:57 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/05/21 11:38:57 kid1| Adding nameserver 179.51.50.202 from /etc/resolv.conf
2021/05/21 11:38:57 kid1| Adding nameserver 179.51.50.203 from /etc/resolv.conf
2021/05/21 11:38:57 kid1| Logfile: opening log daemon:/var/log/squid/access.log
2021/05/21 11:38:57 kid1| Logfile Daemon: opening log /var/log/squid/access.log
2021/05/21 11:38:57 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/05/21 11:38:57 kid1| Store logging disabled
2021/05/21 11:38:57 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/05/21 11:38:57 kid1| Target number of buckets: 1008
2021/05/21 11:38:57 kid1| Using 8192 Store buckets
2021/05/21 11:38:57 kid1| Max Mem  size: 262144 KB
2021/05/21 11:38:57 kid1| Max Swap size: 0 KB
2021/05/21 11:38:57 kid1| Using Least Load store dir selection
2021/05/21 11:38:57 kid1| Set Current Directory to /var/spool/squid
2021/05/21 11:38:57 kid1| Finished loading MIME types and icons.
2021/05/21 11:38:57 kid1| HTCP Disabled.
2021/05/21 11:38:57 kid1| Pinger socket opened on FD 14
2021/05/21 11:38:57 kid1| Squid plugin modules loaded: 0
2021/05/21 11:38:57 kid1| Adaptation support is off.
2021/05/21 11:38:57 kid1| Accepting HTTP Socket connections at local=[::]:3128 remote=[::] FD 12 flags=9
2021/05/21 11:38:57| pinger: Initialising ICMP pinger ...
2021/05/21 11:38:57| pinger: ICMP socket opened.
2021/05/21 11:38:57| pinger: ICMPv6 socket opened
2021/05/21 11:38:58 kid1| storeLateRelease: released 0 objects
2021/05/21 12:24:22 kid1| Logfile: opening log stdio:/var/spool/squid/netdb.state
2021/05/21 12:24:22 kid1| Logfile: closing log stdio:/var/spool/squid/netdb.state
2021/05/21 12:24:22 kid1| NETDB state saved; 0 entries, 0 msec
2021/05/21 12:27:13 kid1| Preparing for shutdown after 0 requests
2021/05/21 12:27:13 kid1| Waiting 30 seconds for active connections to finish
2021/05/21 12:27:13 kid1| Closing HTTP(S) port [::]:3128
2021/05/21 12:27:13 kid1| Closing Pinger socket on FD 14
2021/05/21 12:27:13| Pinger exiting.
2021/05/21 12:27:44 kid1| Shutdown: NTLM authentication.
2021/05/21 12:27:44 kid1| Shutdown: Negotiate authentication.
2021/05/21 12:27:44 kid1| Shutdown: Digest authentication.
2021/05/21 12:27:44 kid1| Shutdown: Basic authentication.
2021/05/21 12:27:44 kid1| Shutting down...
2021/05/21 12:27:44 kid1| storeDirWriteCleanLogs: Starting...
2021/05/21 12:27:44 kid1|   Finished.  Wrote 0 entries.
2021/05/21 12:27:44 kid1|   Took 0.00 seconds (  0.00 entries/sec).
CPU Usage: 0.539 seconds = 0.378 user + 0.162 sys
Maximum Resident Size: 94592 KB
Page faults with physical i/o: 0
2021/05/21 12:27:44 kid1| Logfile: closing log daemon:/var/log/squid/access.log
2021/05/21 12:27:44 kid1| Logfile Daemon: closing log daemon:/var/log/squid/access.log
2021/05/21 12:27:44 kid1| Open FD UNSTARTED    10 IPC UNIX STREAM Parent
2021/05/21 12:27:44 kid1| Squid Cache (Version 4.6): Exiting normally.
2021/05/21 12:27:44| Removing PID file (/var/run/squid.pid)
2021/05/21 12:27:49| Created PID file (/var/run/squid.pid)
2021/05/21 12:27:54 kid1| Set Current Directory to /var/spool/squid
2021/05/21 12:27:54 kid1| Creating missing swap directories
2021/05/21 12:27:54 kid1| No cache_dir stores are configured.
2021/05/21 12:27:54| Removing PID file (/var/run/squid.pid)
2021/05/21 12:27:58| Created PID file (/var/run/squid.pid)
2021/05/21 12:28:03 kid1| Set Current Directory to /var/spool/squid
2021/05/21 12:28:03 kid1| Starting Squid Cache version 4.6 for x86_64-pc-linux-gnu...
2021/05/21 12:28:03 kid1| Service Name: squid
2021/05/21 12:28:03 kid1| Process ID 1965
2021/05/21 12:28:03 kid1| Process Roles: worker
2021/05/21 12:28:03 kid1| With 1024 file descriptors available
2021/05/21 12:28:03 kid1| Initializing IP Cache...
2021/05/21 12:28:03 kid1| DNS Socket created at [::], FD 5
2021/05/21 12:28:03 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/05/21 12:28:03 kid1| Adding nameserver 179.51.50.202 from /etc/resolv.conf
2021/05/21 12:28:03 kid1| Adding nameserver 179.51.50.203 from /etc/resolv.conf
2021/05/21 12:28:03 kid1| Logfile: opening log daemon:/var/log/squid/access.log
2021/05/21 12:28:03 kid1| Logfile Daemon: opening log /var/log/squid/access.log
2021/05/21 12:28:03 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/05/21 12:28:03 kid1| Store logging disabled
2021/05/21 12:28:03 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/05/21 12:28:03 kid1| Target number of buckets: 1008
2021/05/21 12:28:03 kid1| Using 8192 Store buckets
2021/05/21 12:28:03 kid1| Max Mem  size: 262144 KB
2021/05/21 12:28:03 kid1| Max Swap size: 0 KB
2021/05/21 12:28:03 kid1| Using Least Load store dir selection
2021/05/21 12:28:03 kid1| Set Current Directory to /var/spool/squid
2021/05/21 12:28:03 kid1| Finished loading MIME types and icons.
2021/05/21 12:28:03 kid1| HTCP Disabled.
2021/05/21 12:28:03 kid1| Pinger socket opened on FD 15
2021/05/21 12:28:03 kid1| Squid plugin modules loaded: 0
2021/05/21 12:28:03 kid1| Adaptation support is off.
2021/05/21 12:28:03 kid1| Accepting HTTP Socket connections at local=[::]:3128 remote=[::] FD 12 flags=9
2021/05/21 12:28:03 kid1| Accepting HTTP Socket connections at local=[::]:8080 remote=[::] FD 13 flags=9
2021/05/21 12:28:03| pinger: Initialising ICMP pinger ...
2021/05/21 12:28:03| pinger: ICMP socket opened.
2021/05/21 12:28:03| pinger: ICMPv6 socket opened
2021/05/21 12:28:04 kid1| storeLateRelease: released 0 objects
2021/05/21 12:39:12| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80e::2003]: (101) Network is unreachable
2021/05/21 12:39:12| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:804::200d]: (101) Network is unreachable
2021/05/21 12:39:17| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:800::2004]: (101) Network is unreachable
2021/05/21 12:39:18| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:802::2003]: (101) Network is unreachable
2021/05/21 12:39:20| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80d::2003]: (101) Network is unreachable
2021/05/21 12:39:21| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:803::2003]: (101) Network is unreachable
2021/05/21 12:39:44| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:c11::200]: (101) Network is unreachable
2021/05/21 13:01:56| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:802::200e]: (101) Network is unreachable
2021/05/21 13:13:28 kid1| Logfile: opening log stdio:/var/spool/squid/netdb.state
2021/05/21 13:13:28 kid1| Logfile: closing log stdio:/var/spool/squid/netdb.state
2021/05/21 13:13:28 kid1| NETDB state saved; 7 entries, 1 msec
2021/05/21 13:30:59| SendEcho ERROR: sending to ICMPv6 packet to [2600:1403:5400:584::611]: (101) Network is unreachable
2021/05/21 13:31:04| SendEcho ERROR: sending to ICMPv6 packet to [2603:1030:c04:3::e0]: (101) Network is unreachable
2021/05/21 13:31:17| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:c11::200]: (101) Network is unreachable
2021/05/21 13:33:36| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:813::2003]: (101) Network is unreachable
2021/05/21 13:33:36| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:800::200d]: (101) Network is unreachable
2021/05/21 13:33:50| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:42::132]: (101) Network is unreachable
2021/05/21 13:33:56| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:801::200a]: (101) Network is unreachable
2021/05/21 13:34:02| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80e::2003]: (101) Network is unreachable
2021/05/21 13:34:05| SendEcho ERROR: sending to ICMPv6 packet to [2600:1403:5400:5b9::25bb]: (101) Network is unreachable
2021/05/21 13:34:08| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:bdf::57]: (101) Network is unreachable
2021/05/21 13:34:19| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80d::2003]: (101) Network is unreachable
2021/05/21 13:34:24| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:811::200a]: (101) Network is unreachable
2021/05/21 13:35:14| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:810::2010]: (101) Network is unreachable
2021/05/21 13:35:17| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:812::200e]: (101) Network is unreachable
